	P0-O	P0-F0-T0.5	P0-F0-T1	P0-F0-T2	P0-F1-T0.5	P0-F1-T1	P0-F1-T2	P0-F2-T0.5	P0-F2-T1	P0-F2-T2	P1-O	P1-F0-T0.5	P1-F0-T1	P1-F0-T2	P1-F1-T0.5	P1-F1-T1	P1-F1-T2	P1-F2-T0.5	P1-F2-T1	P1-F2-T2	P2-O	P2-F0-T0.5	P2-F0-T1	P2-F0-T2	P2-F1-T0.5	P2-F1-T1	P2-F1-T2	P2-F2-T0.5	P2-F2-T1	P2-F2-T2	P3-O	P3-F0-T0.5	P3-F0-T1	P3-F0-T2	P3-F1-T0.5	P3-F1-T1	P3-F1-T2	P3-F2-T0.5	P3-F2-T1	P3-F2-T2	P4-O	P4-F0-T0.5	P4-F0-T1	P4-F0-T2	P4-F1-T0.5	P4-F1-T1	P4-F1-T2	P4-F2-T0.5	P4-F2-T1	P4-F2-T2	P5-O	P5-F0-T0.5	P5-F0-T1	P5-F0-T2	P5-F1-T0.5	P5-F1-T1	P5-F1-T2	P5-F2-T0.5	P5-F2-T1	P5-F2-T2	P6-O	P6-F0-T0.5	P6-F0-T1	P6-F0-T2	P6-F1-T0.5	P6-F1-T1	P6-F1-T2	P6-F2-T0.5	P6-F2-T1	P6-F2-T2	P7-O	P7-F0-T0.5	P7-F0-T1	P7-F0-T2	P7-F1-T0.5	P7-F1-T1	P7-F1-T2	P7-F2-T0.5	P7-F2-T1	P7-F2-T2	P8-O	P8-F0-T0.5	P8-F0-T1	P8-F0-T2	P8-F1-T0.5	P8-F1-T1	P8-F1-T2	P8-F2-T0.5	P8-F2-T1	P8-F2-T2	P9-O	P9-F0-T0.5	P9-F0-T1	P9-F0-T2	P9-F1-T0.5	P9-F1-T1	P9-F1-T2	P9-F2-T0.5	P9-F2-T1	P9-F2-T2
2x17	2.0	0.0	2.0	8.0	0.0	2.0	2.0	1.0	1.0	4.0	10.0	4.0	9.0	2.0	0.0	4.0	4.0	0.0	2.0	2.0	2.0	4.0	7.0	8.0	2.0	5.0	18.0	2.0	2.0	6.0	5.0	7.0	9.0	2.0	2.0	2.0	4.0	2.0	8.0	2.0	3.0	7.0	3.0	0.0	2.0	14.0	4.0	0.0	0.0	6.0	3.0	1.0	1.0	6.0	4.0	3.0	4.0	1.0	9.0	4.0	0.0	1.0	0.0	8.0	1.0	1.0	28.0	2.0	4.0	28.0	2.0	0.0	3.0	0.0	1.0	2.0	10.0	2.0	1.0	4.0	2.0	0.0	3.0	0.0	0.0	1.0	10.0	2.0	2.0	0.0	3.0	5.0	6.0	6.0	0.0	1.0	4.0	0.0	5.0	10.0
3x17	1.0	2.0	5.0	20.0	6.0	2.0	22.0	2.0	2.0	6.0	7.0	4.0	1.0	8.0	4.0	4.0	2.0	2.0	3.0	10.0	9.0	2.0	3.0	2.0	0.0	2.0	10.0	5.0	5.0	6.0	5.0	0.0	1.0	2.0	0.0	6.0	16.0	1.0	1.0	0.0	5.0	0.0	2.0	6.0	1.0	2.0	2.0	1.0	1.0	0.0	6.0	1.0	3.0	4.0	6.0	8.0	22.0	4.0	0.0	6.0	2.0	2.0	0.0	8.0	0.0	1.0	6.0	0.0	2.0	4.0	5.0	0.0	3.0	6.0	2.0	2.0	16.0	1.0	1.0	8.0	6.0	1.0	8.0	6.0	1.0	1.0	6.0	2.0	3.0	8.0	0.0	1.0	5.0	2.0	0.0	6.0	14.0	4.0	3.0	4.0
4x17	6.0	2.0	1.0	26.0	2.0	9.0	2.0	2.0	12.0	10.0	6.0	1.0	3.0	4.0	1.0	2.0	10.0	4.0	11.0	0.0	6.0	1.0	1.0	2.0	0.0	6.0	2.0	0.0	1.0	4.0	11.0	2.0	7.0	2.0	1.0	3.0	4.0	0.0	2.0	8.0	3.0	1.0	2.0	4.0	1.0	0.0	8.0	2.0	1.0	4.0	12.0	4.0	6.0	6.0	2.0	3.0	16.0	0.0	0.0	2.0	2.0	0.0	4.0	2.0	1.0	12.0	8.0	2.0	1.0	6.0	11.0	2.0	4.0	0.0	4.0	0.0	14.0	3.0	6.0	12.0	6.0	1.0	0.0	0.0	1.0	2.0	2.0	4.0	2.0	0.0	1.0	0.0	6.0	2.0	0.0	0.0	12.0	4.0	2.0	2.0
5x17	8.0	0.0	12.0	0.0	2.0	8.0	2.0	1.0	3.0	4.0	9.0	0.0	2.0	4.0	0.0	12.0	8.0	0.0	1.0	2.0	2.0	1.0	1.0	8.0	0.0	5.0	2.0	0.0	3.0	6.0	7.0	0.0	5.0	10.0	1.0	3.0	18.0	2.0	5.0	4.0	7.0	1.0	5.0	0.0	0.0	1.0	8.0	0.0	3.0	8.0	10.0	1.0	7.0	8.0	4.0	3.0	0.0	1.0	8.0	4.0	0.0	0.0	8.0	2.0	3.0	3.0	6.0	1.0	5.0	10.0	6.0	5.0	4.0	2.0	4.0	11.0	8.0	0.0	4.0	20.0	3.0	2.0	1.0	8.0	2.0	7.0	10.0	0.0	2.0	16.0	2.0	2.0	2.0	2.0	1.0	5.0	4.0	2.0	2.0	4.0
6x17	10.0	0.0	9.0	26.0	5.0	0.0	4.0	1.0	9.0	14.0	2.0	0.0	3.0	20.0	2.0	5.0	4.0	2.0	1.0	4.0	0.0	1.0	5.0	6.0	1.0	5.0	4.0	1.0	2.0	2.0	11.0	1.0	3.0	0.0	2.0	3.0	16.0	1.0	9.0	10.0	11.0	2.0	2.0	16.0	1.0	2.0	2.0	0.0	14.0	0.0	7.0	2.0	2.0	6.0	4.0	2.0	2.0	0.0	1.0	10.0	4.0	0.0	1.0	2.0	7.0	3.0	2.0	2.0	3.0	6.0	6.0	1.0	3.0	14.0	3.0	2.0	8.0	0.0	0.0	2.0	5.0	2.0	13.0	4.0	4.0	12.0	16.0	4.0	0.0	6.0	1.0	0.0	0.0	2.0	5.0	10.0	4.0	0.0	1.0	2.0
7x17	5.0	0.0	9.0	0.0	0.0	8.0	10.0	3.0	8.0	2.0	3.0	1.0	2.0	0.0	2.0	4.0	0.0	2.0	0.0	26.0	2.0	0.0	7.0	18.0	2.0	1.0	2.0	0.0	2.0	10.0	1.0	2.0	6.0	14.0	0.0	1.0	4.0	2.0	4.0	16.0	14.0	4.0	2.0	2.0	4.0	6.0	6.0	1.0	4.0	0.0	7.0	1.0	2.0	8.0	2.0	2.0	2.0	1.0	4.0	2.0	4.0	2.0	2.0	2.0	1.0	2.0	0.0	1.0	2.0	0.0	3.0	2.0	6.0	18.0	0.0	3.0	6.0	6.0	5.0	18.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	3.0	2.0	2.0	3.0	4.0	2.0	1.0	9.0	6.0	0.0	8.0	2.0
8x17	10.0	0.0	9.0	28.0	0.0	5.0	6.0	1.0	10.0	14.0	0.0	4.0	9.0	0.0	1.0	0.0	4.0	1.0	0.0	6.0	1.0	2.0	2.0	8.0	2.0	6.0	4.0	1.0	8.0	6.0	2.0	1.0	2.0	2.0	2.0	1.0	0.0	0.0	4.0	22.0	10.0	1.0	12.0	2.0	6.0	1.0	2.0	2.0	4.0	10.0	13.0	2.0	2.0	4.0	0.0	2.0	2.0	2.0	6.0	4.0	0.0	1.0	1.0	2.0	0.0	2.0	6.0	1.0	10.0	12.0	2.0	2.0	2.0	2.0	1.0	3.0	12.0	0.0	8.0	4.0	2.0	2.0	4.0	0.0	4.0	6.0	0.0	8.0	2.0	10.0	2.0	0.0	5.0	6.0	3.0	3.0	8.0	0.0	1.0	4.0
9x17	10.0	4.0	0.0	26.0	1.0	7.0	10.0	2.0	11.0	4.0	1.0	1.0	5.0	2.0	1.0	8.0	4.0	0.0	10.0	4.0	3.0	2.0	1.0	0.0	2.0	0.0	18.0	1.0	1.0	4.0	1.0	1.0	2.0	0.0	2.0	5.0	4.0	4.0	1.0	24.0	2.0	2.0	4.0	12.0	2.0	0.0	0.0	2.0	1.0	4.0	2.0	1.0	1.0	4.0	2.0	3.0	4.0	1.0	7.0	4.0	3.0	2.0	1.0	4.0	1.0	2.0	2.0	2.0	8.0	26.0	9.0	2.0	10.0	12.0	0.0	0.0	2.0	2.0	10.0	2.0	4.0	0.0	3.0	8.0	0.0	3.0	0.0	3.0	9.0	6.0	3.0	0.0	0.0	4.0	0.0	0.0	14.0	2.0	2.0	6.0
10x17	10.0	2.0	4.0	16.0	4.0	5.0	6.0	2.0	1.0	4.0	10.0	2.0	2.0	4.0	0.0	4.0	10.0	0.0	2.0	20.0	10.0	4.0	2.0	0.0	2.0	3.0	4.0	4.0	10.0	6.0	1.0	0.0	0.0	6.0	0.0	0.0	2.0	1.0	3.0	4.0	2.0	1.0	0.0	2.0	2.0	9.0	2.0	0.0	0.0	4.0	3.0	2.0	2.0	24.0	1.0	2.0	8.0	2.0	0.0	6.0	11.0	6.0	3.0	8.0	1.0	12.0	10.0	1.0	9.0	2.0	5.0	2.0	10.0	2.0	5.0	1.0	2.0	0.0	3.0	8.0	4.0	2.0	4.0	2.0	2.0	6.0	4.0	4.0	4.0	2.0	1.0	1.0	2.0	12.0	6.0	1.0	2.0	0.0	2.0	20.0
11x17	11.0	5.0	7.0	2.0	4.0	3.0	2.0	5.0	7.0	0.0	7.0	2.0	2.0	18.0	0.0	9.0	2.0	4.0	2.0	4.0	10.0	0.0	4.0	2.0	2.0	2.0	24.0	4.0	1.0	4.0	3.0	2.0	4.0	8.0	5.0	3.0	6.0	5.0	1.0	18.0	2.0	1.0	3.0	6.0	2.0	3.0	6.0	0.0	0.0	8.0	3.0	0.0	2.0	0.0	1.0	1.0	4.0	0.0	1.0	22.0	10.0	1.0	3.0	0.0	6.0	1.0	2.0	2.0	4.0	14.0	10.0	4.0	5.0	2.0	4.0	9.0	0.0	0.0	0.0	2.0	10.0	2.0	1.0	6.0	1.0	1.0	20.0	0.0	2.0	6.0	3.0	0.0	5.0	4.0	2.0	3.0	4.0	2.0	13.0	2.0
12x17	10.0	0.0	12.0	14.0	6.0	11.0	8.0	2.0	8.0	2.0	6.0	4.0	0.0	8.0	0.0	3.0	2.0	0.0	1.0	4.0	9.0	3.0	10.0	4.0	1.0	8.0	4.0	1.0	3.0	0.0	6.0	2.0	1.0	0.0	2.0	3.0	0.0	2.0	2.0	14.0	5.0	2.0	5.0	14.0	2.0	1.0	24.0	4.0	1.0	2.0	1.0	2.0	1.0	2.0	0.0	1.0	4.0	1.0	3.0	4.0	10.0	0.0	5.0	4.0	0.0	11.0	0.0	2.0	0.0	0.0	9.0	4.0	5.0	6.0	0.0	1.0	8.0	5.0	3.0	14.0	3.0	0.0	3.0	0.0	0.0	2.0	4.0	1.0	2.0	4.0	0.0	2.0	5.0	4.0	1.0	6.0	6.0	0.0	2.0	16.0
13x17	10.0	4.0	0.0	0.0	1.0	8.0	8.0	0.0	0.0	2.0	10.0	1.0	1.0	6.0	4.0	7.0	12.0	1.0	1.0	4.0	2.0	2.0	3.0	4.0	2.0	1.0	0.0	6.0	3.0	12.0	6.0	4.0	3.0	2.0	0.0	10.0	8.0	0.0	3.0	2.0	0.0	0.0	5.0	6.0	0.0	5.0	2.0	2.0	1.0	4.0	1.0	0.0	0.0	0.0	2.0	2.0	6.0	6.0	15.0	2.0	8.0	0.0	1.0	10.0	0.0	1.0	26.0	3.0	1.0	6.0	4.0	1.0	4.0	2.0	1.0	11.0	4.0	0.0	1.0	4.0	1.0	4.0	2.0	4.0	2.0	9.0	6.0	2.0	5.0	2.0	2.0	3.0	13.0	2.0	0.0	2.0	2.0	2.0	2.0	24.0
14x17	9.0	3.0	6.0	8.0	1.0	2.0	4.0	0.0	10.0	16.0	1.0	3.0	1.0	8.0	1.0	9.0	4.0	4.0	1.0	4.0	2.0	0.0	5.0	6.0	0.0	7.0	2.0	0.0	4.0	4.0	3.0	2.0	2.0	8.0	6.0	8.0	6.0	4.0	1.0	0.0	1.0	2.0	8.0	6.0	1.0	2.0	20.0	0.0	3.0	18.0	1.0	0.0	1.0	16.0	1.0	4.0	4.0	3.0	3.0	14.0	8.0	1.0	2.0	8.0	1.0	3.0	8.0	2.0	10.0	10.0	4.0	0.0	4.0	22.0	2.0	1.0	2.0	0.0	7.0	6.0	1.0	2.0	3.0	4.0	2.0	0.0	16.0	2.0	6.0	6.0	1.0	0.0	1.0	28.0	4.0	6.0	2.0	7.0	9.0	0.0
15x17	9.0	2.0	9.0	0.0	5.0	3.0	10.0	0.0	13.0	10.0	2.0	0.0	2.0	8.0	0.0	2.0	6.0	0.0	2.0	12.0	4.0	0.0	2.0	6.0	2.0	10.0	4.0	4.0	6.0	6.0	5.0	1.0	2.0	4.0	1.0	6.0	8.0	0.0	3.0	6.0	5.0	0.0	11.0	8.0	2.0	2.0	8.0	7.0	2.0	8.0	3.0	1.0	4.0	2.0	1.0	0.0	4.0	2.0	0.0	14.0	10.0	2.0	2.0	8.0	2.0	2.0	2.0	2.0	1.0	6.0	3.0	5.0	6.0	18.0	3.0	4.0	4.0	1.0	1.0	4.0	1.0	0.0	2.0	28.0	4.0	0.0	4.0	6.0	1.0	2.0	2.0	1.0	1.0	12.0	2.0	3.0	10.0	0.0	1.0	8.0
16x17	11.0	2.0	4.0	22.0	2.0	9.0	6.0	2.0	14.0	24.0	0.0	2.0	2.0	14.0	0.0	7.0	22.0	0.0	8.0	18.0	10.0	1.0	1.0	2.0	0.0	1.0	14.0	2.0	3.0	24.0	5.0	0.0	1.0	2.0	6.0	1.0	24.0	0.0	1.0	18.0	3.0	2.0	1.0	4.0	0.0	2.0	14.0	1.0	1.0	28.0	4.0	2.0	2.0	8.0	0.0	0.0	6.0	1.0	4.0	12.0	4.0	6.0	2.0	20.0	2.0	2.0	6.0	2.0	3.0	4.0	9.0	0.0	3.0	8.0	4.0	5.0	2.0	2.0	6.0	16.0	4.0	4.0	1.0	0.0	2.0	7.0	4.0	6.0	3.0	4.0	1.0	0.0	1.0	6.0	2.0	1.0	12.0	2.0	1.0	10.0
17x17	11.0	0.0	11.0	0.0	2.0	12.0	6.0	6.0	1.0	10.0	2.0	0.0	4.0	4.0	1.0	1.0	20.0	1.0	2.0	6.0	10.0	2.0	4.0	0.0	4.0	3.0	8.0	0.0	3.0	0.0	2.0	2.0	2.0	2.0	0.0	1.0	2.0	7.0	1.0	12.0	1.0	4.0	4.0	0.0	0.0	4.0	16.0	2.0	4.0	6.0	0.0	4.0	2.0	16.0	0.0	2.0	8.0	2.0	1.0	0.0	5.0	0.0	10.0	6.0	0.0	2.0	16.0	1.0	6.0	6.0	7.0	5.0	5.0	6.0	1.0	9.0	2.0	0.0	11.0	0.0	8.0	2.0	1.0	4.0	0.0	2.0	2.0	3.0	0.0	14.0	4.0	0.0	0.0	2.0	0.0	1.0	4.0	4.0	1.0	6.0
18x17	6.0	4.0	7.0	20.0	2.0	4.0	2.0	2.0	3.0	24.0	2.0	6.0	11.0	4.0	3.0	11.0	12.0	2.0	7.0	4.0	5.0	2.0	13.0	6.0	0.0	0.0	8.0	1.0	9.0	0.0	1.0	0.0	3.0	4.0	6.0	2.0	4.0	0.0	3.0	4.0	2.0	0.0	0.0	0.0	2.0	10.0	8.0	2.0	7.0	6.0	2.0	2.0	4.0	4.0	1.0	1.0	4.0	2.0	13.0	10.0	8.0	1.0	3.0	4.0	0.0	3.0	2.0	0.0	3.0	10.0	10.0	6.0	0.0	8.0	0.0	1.0	4.0	0.0	4.0	12.0	12.0	0.0	2.0	0.0	2.0	0.0	6.0	2.0	0.0	6.0	11.0	0.0	0.0	6.0	2.0	1.0	22.0	0.0	10.0	2.0
19x17	9.0	0.0	1.0	22.0	0.0	8.0	12.0	2.0	1.0	16.0	0.0	0.0	1.0	2.0	2.0	1.0	2.0	1.0	4.0	14.0	4.0	1.0	2.0	4.0	1.0	6.0	18.0	1.0	2.0	2.0	2.0	0.0	2.0	2.0	0.0	5.0	4.0	0.0	0.0	8.0	2.0	1.0	4.0	6.0	3.0	3.0	2.0	1.0	3.0	14.0	0.0	2.0	2.0	12.0	2.0	1.0	16.0	0.0	6.0	4.0	5.0	1.0	3.0	6.0	0.0	0.0	4.0	0.0	0.0	6.0	7.0	0.0	2.0	2.0	2.0	1.0	2.0	4.0	2.0	22.0	4.0	0.0	2.0	8.0	1.0	3.0	16.0	3.0	5.0	6.0	3.0	1.0	12.0	12.0	1.0	2.0	4.0	1.0	2.0	0.0
20x17	5.0	4.0	1.0	14.0	1.0	2.0	0.0	4.0	0.0	2.0	3.0	2.0	8.0	8.0	2.0	2.0	16.0	4.0	3.0	16.0	0.0	2.0	0.0	2.0	0.0	2.0	6.0	2.0	8.0	4.0	5.0	2.0	8.0	24.0	1.0	5.0	0.0	0.0	3.0	0.0	10.0	0.0	5.0	4.0	0.0	1.0	8.0	0.0	2.0	0.0	2.0	1.0	0.0	2.0	1.0	2.0	4.0	0.0	3.0	30.0	0.0	4.0	7.0	0.0	0.0	4.0	8.0	1.0	2.0	20.0	1.0	2.0	1.0	8.0	2.0	2.0	2.0	0.0	6.0	2.0	2.0	3.0	8.0	2.0	2.0	6.0	4.0	0.0	1.0	2.0	12.0	0.0	4.0	2.0	1.0	2.0	0.0	1.0	1.0	2.0
21x17	10.0	0.0	2.0	14.0	0.0	12.0	8.0	1.0	1.0	4.0	0.0	4.0	5.0	26.0	0.0	0.0	14.0	1.0	4.0	0.0	3.0	0.0	12.0	6.0	2.0	1.0	22.0	0.0	1.0	0.0	8.0	2.0	11.0	2.0	2.0	1.0	10.0	0.0	7.0	6.0	5.0	1.0	4.0	0.0	0.0	2.0	4.0	2.0	5.0	2.0	2.0	1.0	0.0	4.0	2.0	1.0	2.0	2.0	5.0	8.0	2.0	2.0	3.0	4.0	0.0	13.0	10.0	0.0	4.0	8.0	1.0	2.0	3.0	10.0	1.0	10.0	14.0	4.0	1.0	14.0	2.0	0.0	9.0	2.0	1.0	2.0	8.0	0.0	3.0	10.0	2.0	0.0	1.0	8.0	1.0	9.0	8.0	1.0	1.0	12.0
22x17	3.0	4.0	3.0	2.0	4.0	2.0	24.0	4.0	4.0	4.0	3.0	1.0	0.0	18.0	4.0	8.0	14.0	2.0	12.0	20.0	4.0	1.0	9.0	6.0	3.0	3.0	4.0	4.0	5.0	4.0	11.0	2.0	2.0	0.0	1.0	2.0	2.0	2.0	2.0	4.0	5.0	0.0	3.0	6.0	1.0	2.0	28.0	6.0	1.0	2.0	2.0	3.0	3.0	8.0	4.0	1.0	14.0	2.0	3.0	2.0	2.0	0.0	3.0	6.0	0.0	4.0	4.0	0.0	5.0	6.0	6.0	0.0	2.0	0.0	0.0	1.0	16.0	1.0	12.0	12.0	3.0	4.0	2.0	2.0	1.0	4.0	6.0	2.0	1.0	4.0	0.0	2.0	2.0	4.0	0.0	9.0	22.0	1.0	1.0	4.0
23x17	3.0	2.0	7.0	14.0	6.0	9.0	16.0	2.0	10.0	16.0	1.0	3.0	1.0	0.0	2.0	3.0	2.0	0.0	10.0	2.0	6.0	1.0	4.0	6.0	1.0	0.0	8.0	0.0	0.0	8.0	4.0	1.0	1.0	2.0	6.0	3.0	8.0	2.0	11.0	22.0	10.0	2.0	0.0	20.0	0.0	0.0	2.0	0.0	4.0	16.0	8.0	2.0	8.0	6.0	0.0	11.0	4.0	8.0	1.0	16.0	2.0	2.0	3.0	4.0	2.0	1.0	0.0	0.0	1.0	18.0	9.0	1.0	1.0	20.0	0.0	17.0	8.0	0.0	3.0	2.0	0.0	2.0	7.0	0.0	4.0	1.0	2.0	4.0	2.0	4.0	1.0	2.0	4.0	10.0	6.0	0.0	6.0	2.0	1.0	2.0
24x17	3.0	4.0	5.0	2.0	4.0	3.0	4.0	4.0	8.0	12.0	1.0	3.0	3.0	0.0	1.0	2.0	4.0	0.0	0.0	4.0	5.0	0.0	7.0	24.0	2.0	0.0	6.0	1.0	1.0	20.0	12.0	2.0	3.0	6.0	1.0	2.0	2.0	0.0	7.0	12.0	5.0	0.0	1.0	30.0	2.0	1.0	6.0	1.0	1.0	8.0	11.0	1.0	2.0	8.0	0.0	3.0	2.0	1.0	2.0	28.0	3.0	0.0	4.0	6.0	2.0	0.0	2.0	0.0	3.0	6.0	6.0	2.0	2.0	4.0	1.0	8.0	24.0	2.0	8.0	10.0	7.0	0.0	3.0	18.0	0.0	3.0	6.0	4.0	8.0	8.0	2.0	0.0	2.0	4.0	2.0	0.0	6.0	0.0	4.0	6.0
25x17	2.0	6.0	8.0	18.0	0.0	5.0	8.0	0.0	1.0	0.0	2.0	3.0	3.0	2.0	6.0	6.0	6.0	2.0	3.0	2.0	8.0	1.0	4.0	12.0	0.0	10.0	0.0	2.0	9.0	2.0	12.0	2.0	3.0	2.0	2.0	10.0	10.0	2.0	6.0	0.0	5.0	1.0	3.0	0.0	4.0	3.0	2.0	1.0	1.0	0.0	9.0	2.0	1.0	14.0	0.0	1.0	2.0	1.0	1.0	8.0	2.0	4.0	0.0	6.0	0.0	1.0	2.0	1.0	1.0	8.0	8.0	1.0	6.0	2.0	3.0	5.0	0.0	2.0	7.0	2.0	9.0	2.0	2.0	4.0	2.0	3.0	6.0	1.0	0.0	8.0	4.0	1.0	1.0	24.0	2.0	2.0	4.0	1.0	1.0	0.0
26x17	4.0	5.0	9.0	6.0	0.0	2.0	12.0	1.0	4.0	2.0	3.0	0.0	7.0	0.0	6.0	0.0	16.0	4.0	3.0	18.0	3.0	1.0	4.0	2.0	0.0	11.0	4.0	0.0	2.0	6.0	2.0	3.0	1.0	6.0	0.0	12.0	0.0	1.0	4.0	6.0	3.0	2.0	2.0	0.0	0.0	0.0	4.0	3.0	1.0	6.0	8.0	0.0	0.0	2.0	1.0	0.0	4.0	1.0	10.0	4.0	3.0	2.0	1.0	0.0	1.0	1.0	16.0	4.0	3.0	4.0	4.0	4.0	11.0	4.0	4.0	9.0	4.0	2.0	2.0	4.0	0.0	0.0	9.0	8.0	4.0	1.0	6.0	0.0	1.0	14.0	1.0	0.0	3.0	8.0	2.0	1.0	4.0	6.0	2.0	4.0
27x17	1.0	1.0	3.0	24.0	2.0	7.0	12.0	1.0	3.0	12.0	1.0	2.0	1.0	6.0	1.0	3.0	22.0	0.0	1.0	2.0	1.0	2.0	5.0	2.0	0.0	0.0	6.0	3.0	3.0	10.0	4.0	2.0	1.0	4.0	6.0	2.0	4.0	0.0	1.0	14.0	3.0	5.0	5.0	4.0	1.0	15.0	10.0	2.0	9.0	4.0	1.0	0.0	2.0	4.0	6.0	3.0	2.0	1.0	9.0	4.0	2.0	1.0	4.0	8.0	0.0	4.0	2.0	1.0	4.0	16.0	0.0	2.0	1.0	2.0	2.0	2.0	8.0	2.0	4.0	0.0	6.0	2.0	2.0	14.0	0.0	2.0	14.0	2.0	3.0	4.0	3.0	1.0	6.0	18.0	1.0	2.0	0.0	1.0	4.0	2.0
28x17	3.0	0.0	2.0	4.0	0.0	4.0	24.0	5.0	3.0	14.0	1.0	1.0	1.0	8.0	0.0	3.0	6.0	1.0	11.0	0.0	3.0	1.0	1.0	6.0	1.0	0.0	0.0	2.0	2.0	4.0	0.0	2.0	3.0	4.0	2.0	2.0	18.0	5.0	3.0	10.0	0.0	2.0	2.0	4.0	4.0	2.0	6.0	2.0	4.0	8.0	3.0	2.0	1.0	12.0	2.0	11.0	16.0	2.0	3.0	14.0	2.0	2.0	0.0	4.0	0.0	2.0	6.0	1.0	3.0	4.0	4.0	0.0	8.0	4.0	0.0	3.0	12.0	6.0	1.0	4.0	2.0	3.0	2.0	0.0	1.0	0.0	16.0	1.0	1.0	16.0	1.0	0.0	0.0	2.0	4.0	1.0	16.0	1.0	2.0	2.0
29x17	3.0	6.0	0.0	0.0	8.0	8.0	2.0	0.0	1.0	4.0	2.0	4.0	2.0	20.0	1.0	0.0	2.0	2.0	8.0	2.0	1.0	4.0	3.0	0.0	5.0	4.0	6.0	0.0	1.0	6.0	0.0	2.0	1.0	12.0	0.0	7.0	20.0	2.0	1.0	4.0	0.0	2.0	4.0	8.0	0.0	2.0	4.0	0.0	4.0	2.0	2.0	0.0	8.0	2.0	0.0	3.0	6.0	2.0	5.0	4.0	0.0	1.0	2.0	6.0	5.0	1.0	6.0	2.0	1.0	6.0	2.0	0.0	4.0	0.0	2.0	14.0	14.0	1.0	13.0	16.0	7.0	2.0	1.0	30.0	2.0	3.0	6.0	0.0	1.0	8.0	4.0	2.0	2.0	16.0	1.0	5.0	8.0	0.0	3.0	2.0
0x18	3.0	2.0	7.0	2.0	6.0	9.0	2.0	1.0	8.0	6.0	1.0	0.0	3.0	16.0	0.0	10.0	6.0	2.0	2.0	16.0	2.0	0.0	1.0	20.0	2.0	3.0	2.0	2.0	2.0	4.0	1.0	0.0	5.0	16.0	0.0	5.0	2.0	6.0	1.0	4.0	5.0	0.0	1.0	24.0	2.0	8.0	4.0	2.0	1.0	6.0	2.0	4.0	6.0	8.0	2.0	0.0	12.0	3.0	2.0	16.0	1.0	4.0	2.0	2.0	6.0	8.0	4.0	0.0	2.0	6.0	3.0	0.0	4.0	4.0	2.0	3.0	16.0	2.0	2.0	4.0	2.0	2.0	7.0	6.0	0.0	4.0	4.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	4.0	2.0	2.0	1.0	16.0
1x18	1.0	0.0	4.0	0.0	0.0	3.0	2.0	8.0	10.0	2.0	4.0	2.0	1.0	26.0	2.0	3.0	4.0	2.0	1.0	8.0	1.0	5.0	5.0	16.0	0.0	3.0	2.0	2.0	1.0	0.0	4.0	0.0	0.0	2.0	3.0	1.0	6.0	4.0	4.0	6.0	2.0	4.0	0.0	4.0	2.0	1.0	14.0	2.0	4.0	0.0	0.0	1.0	8.0	4.0	2.0	9.0	4.0	2.0	0.0	2.0	0.0	2.0	2.0	8.0	0.0	3.0	6.0	1.0	1.0	0.0	3.0	0.0	3.0	6.0	1.0	6.0	8.0	3.0	4.0	16.0	0.0	1.0	7.0	4.0	2.0	3.0	8.0	2.0	3.0	0.0	1.0	2.0	1.0	6.0	0.0	2.0	6.0	0.0	8.0	6.0
2x18	2.0	1.0	6.0	24.0	1.0	10.0	0.0	2.0	1.0	24.0	9.0	3.0	2.0	4.0	2.0	2.0	4.0	0.0	6.0	0.0	4.0	2.0	1.0	0.0	4.0	1.0	12.0	6.0	9.0	12.0	7.0	2.0	3.0	24.0	1.0	2.0	22.0	2.0	0.0	4.0	2.0	4.0	1.0	2.0	0.0	2.0	4.0	0.0	4.0	2.0	9.0	0.0	0.0	0.0	1.0	3.0	2.0	1.0	2.0	4.0	2.0	4.0	3.0	6.0	2.0	10.0	4.0	1.0	4.0	2.0	2.0	4.0	1.0	18.0	1.0	1.0	0.0	0.0	8.0	24.0	8.0	0.0	2.0	16.0	2.0	2.0	0.0	1.0	7.0	2.0	6.0	0.0	0.0	18.0	4.0	6.0	2.0	1.0	4.0	22.0
3x18	2.0	6.0	2.0	10.0	4.0	9.0	18.0	0.0	6.0	10.0	11.0	0.0	5.0	0.0	6.0	1.0	6.0	6.0	2.0	4.0	8.0	0.0	0.0	14.0	4.0	1.0	6.0	1.0	3.0	6.0	7.0	0.0	0.0	6.0	2.0	4.0	8.0	2.0	0.0	10.0	0.0	3.0	6.0	4.0	1.0	3.0	4.0	6.0	9.0	8.0	13.0	2.0	3.0	0.0	1.0	2.0	8.0	0.0	2.0	6.0	1.0	0.0	4.0	14.0	2.0	2.0	2.0	2.0	3.0	2.0	7.0	2.0	12.0	14.0	2.0	13.0	16.0	0.0	5.0	4.0	13.0	2.0	1.0	2.0	2.0	2.0	4.0	2.0	2.0	0.0	7.0	8.0	3.0	2.0	5.0	0.0	12.0	0.0	1.0	2.0
